Date,Timestamp,Invoice No.,Item Name,Price,Qty.,Sub Total,Discount,Tax,Final Total,Table No.,Server Name,Covers,Variation,Category,HSN
2023-06-30,2023-06-30 22:47:50,26190,Mineral Water,20.00,1.00,20.00,0.00,1.00,21.00,1,biller,0,,Deserts & Mocktails,
2023-06-30,2023-06-30 22:25:11,26189,Chapathi (2 No),50.00,1.00,50.00,0.00,2.50,52.50,9,biller,0,,Indian Breads,
2023-06-30,2023-06-30 22:25:11,26189,Roti,40.00,1.00,40.00,0.00,2.00,42.00,9,biller,0,,Indian Breads,
2023-06-30,2023-06-30 22:25:11,26189,Mushroom Pulao,140.00,1.00,140.00,0.00,7.00,147.00,9,biller,0,,VEG BIRYANI & RICE,
2023-06-30,2023-06-30 22:25:11,26189,Veg Fried Rice,130.00,1.00,130.00,0.00,6.50,136.50,9,biller,0,,VEG BIRYANI & RICE,
2023-06-30,2023-06-30 22:25:11,26189,Chapathi (2 No),50.00,1.00,50.00,0.00,2.50,52.50,9,biller,0,,Indian Breads,
2023-06-30,2023-06-30 22:18:11,26188,Butter Scotch Scoop,80.00,1.00,80.00,0.00,4.00,84.00,1,biller,0,,Deserts & Mocktails,
2023-06-30,2023-06-30 22:06:50,26187,Paneer Manchurian,140.00,1.00,140.00,0.00,7.00,147.00,14,biller,0,,Veg Starters,
2023-06-30,2023-06-30 22:06:12,26186,Mushroom Pulao,140.00,1.00,140.00,0.00,7.00,147.00,12,biller,0,,VEG BIRYANI & RICE,
2023-06-30,2023-06-30 21:59:34,26185,Thandoor Chicken Full,389.00,1.00,389.00,0.00,19.46,408.46,13,biller,0,,Non Veg Tandoor,
2023-06-30,2023-06-30 21:59:34,26185,Schezwan Chicken  Fried Rice,160.00,1.00,160.00,0.00,8.00,168.00,13,biller,0,,NON VEG BRIYANI & RICE,
2023-06-30,2023-06-30 21:50:20,26184,Sweet Corn Chicken Soup,90.00,1.00,90.00,0.00,4.50,94.50,41,biller,0,,Non Veg Soup,
2023-06-30,2023-06-30 21:50:20,26184,Chicken Noodles,160.00,1.00,160.00,0.00,8.00,168.00,41,biller,0,,NON VEG BRIYANI & RICE,
2023-06-30,2023-06-30 21:49:03,26183,Lemon Soda,50.00,1.00,50.00,0.00,2.50,52.50,6,biller,0,,Deserts & Mocktails,
2023-06-30,2023-06-30 21:42:20,26182,Pepper Garlic Chicken Soup,90.00,1.00,90.00,0.00,4.50,94.50,2,biller,0,,Non Veg Soup,
2023-06-30,2023-06-30 21:38:58,26181,Mushroom - 65,120.00,1.00,120.00,0.00,6.00,126.00,1,biller,0,,Veg Starters,
2023-06-30,2023-06-30 21:37:13,26180,Chicken Lolly Pop,190.00,1.00,190.00,0.00,9.50,199.50,10,biller,0,,NON VEG STARTERS CHICKEN,
2023-06-30,2023-06-30 21:18:20,26179,French Fries,100.00,1.00,100.00,0.00,5.00,105.00,3,biller,0,,Veg Starters,
2023-06-30,2023-06-30 21:18:20,26179,Chicken Fried Rice,160.00,1.00,160.00,0.00,8.00,168.00,3,biller,0,,NON VEG BRIYANI & RICE,
2023-06-30,2023-06-30 21:18:20,26179,Chicken 65,160.00,1.00,160.00,0.00,8.00,168.00,3,biller,0,,NON VEG STARTERS CHICKEN,
2023-06-30,2023-06-30 21:16:44,26178,Butter Naan,60.00,6.00,360.00,0.00,18.00,378.00,16,biller,0,,Indian Breads,
2023-06-30,2023-06-30 21:16:44,26178,Dragon Chicken,190.00,1.00,190.00,0.00,9.50,199.50,16,biller,0,,NON VEG STARTERS CHICKEN,
2023-06-30,2023-06-30 21:16:44,26178,Paneer Butter Masala,150.00,1.00,150.00,0.00,7.50,157.50,16,biller,0,,Veg Gravy,
2023-06-30,2023-06-30 21:16:44,26178,Kadai Chicken,170.00,1.00,170.00,0.00,8.50,178.50,16,biller,0,,Non Veg Gravy,
